subject_id,label,timestamp,accel_x,accel_y,accel_z,gyro_x,gyro_y,gyro_z,is_synthetic
ET_02,other,0.28,0.3605,0.27611,1.00985,28.174,6.492,13.503,True
ET_02,other,0.29,0.34885,0.18629,1.0207,28.69,-2.99,12.249,True
ET_02,other,0.3,0.32333,0.10851,1.00908,22.541,-13.744,11.191,True
ET_02,other,0.31,0.23732,0.0678,0.9614,11.183,-18.831,5.164,True
ET_02,other,0.32,0.13799,0.02774,0.92667,-2.765,-21.57,-2.378,True
ET_02,other,0.33,0.04245,0.07773,0.8918,-17.615,-18.504,-7.184,True
ET_02,other,0.34,-0.03857,0.14793,0.89721,-25.588,-10.195,-12.743,True
ET_02,other,0.35000000000000003,-0.04728,0.21022,0.86654,-29.182,0.674,-12.982,True
ET_02,other,0.36,-0.02299,0.25666,0.87993,-24.275,10.39,-13.144,True
ET_02,other,0.37,0.06566,0.35441,0.89322,-14.472,17.379,-9.222,True
ET_02,other,0.38,0.15787,0.36743,0.92776,-0.797,21.784,-0.738,True
ET_02,other,0.39,0.25943,0.36615,0.96636,13.167,20.772,4.119,True
ET_02,other,0.4,0.34094,0.30702,1.02958,25.135,13.771,12.56,True
ET_02,other,0.41000000000000003,0.37923,0.23255,1.02358,30.005,3.002,14.838,True
ET_02,other,0.42,0.37621,0.1511,1.02437,26.932,-6.662,14.523,True
ET_02,other,0.43,0.28723,0.08246,0.99342,19.544,-17.137,9.458,True
ET_02,other,0.44,0.219,0.03786,0.97622,7.579,-21.435,1.841,True
ET_02,other,0.45,0.10294,0.07961,0.9013,-8.979,-21.474,-3.88,True
ET_02,other,0.46,0.00562,0.10691,0.8897,-20.658,-16.008,-10.256,True
ET_02,other,0.47000000000000003,-0.03746,0.15969,0.8815,-30.656,-7.45,-14.634,True
ET_02,other,0.48,-0.07122,0.2455,0.86499,-30.17,4.674,-15.463,True
ET_02,other,0.49,-0.00341,0.29852,0.86664,-23.123,14.279,-11.61,True
ET_02,other,0.5,0.1082,0.34039,0.93062,-11.523,20.333,-6.091,True
ET_02,other,0.51,0.1725,0.36343,0.93994,3.835,21.156,1.441,True
ET_02,other,0.52,0.30649,0.32076,0.96149,16.725,18.67,7.044,True
ET_02,other,0.53,0.37962,0.28734,0.99358,26.59,9.426,13.765,True
ET_02,other,0.54,0.38503,0.18784,1.00472,32.009,-0.718,15.023,True
ET_02,other,0.55,0.38717,0.10311,1.03713,27.694,-10.8,11.49,True
ET_02,other,0.56,0.29213,0.06556,0.99255,16.635,-18.616,8.199,True
ET_02,other,0.5700000000000001,0.19579,0.03839,0.95965,3.825,-23.575,0.565,True
ET_02,other,0.58,0.09011,0.07232,0.91063,-11.937,-19.446,-7.036,True
ET_02,other,0.59,-0.02769,0.10913,0.87388,-23.788,-13.682,-13.626,True
ET_02,other,0.6,-0.0591,0.20015,0.84197,-30.95,-3.888,-15.573,True
ET_02,other,0.61,-0.0452,0.25199,0.84479,-28.946,7.288,-14.384,True
ET_02,other,0.62,-0.00072,0.34631,0.86358,-20.447,16.835,-9.529,True
ET_02,other,0.63,0.1002,0.38744,0.9113,-7.795,21.568,-4.076,True
ET_02,other,0.64,0.22063,0.38517,0.9467,7.061,22.662,4.44,True
ET_02,other,0.65,0.33375,0.34032,0.99115,21.991,17.891,11.523,True
ET_02,other,0.66,0.38603,0.24208,0.99523,29.588,7.184,14.85,True
ET_02,other,0.67,0.37989,0.18198,1.00974,30.135,-3.143,16.259,True
ET_02,other,0.68,0.35327,0.08631,1.00943,24.141,-12.716,12.604,True
ET_02,other,0.6900000000000001,0.26063,0.08693,0.95266,12.956,-20.444,7.489,True
ET_02,other,0.7000000000000001,0.18651,0.04662,0.94949,-3.113,-22.105,-0.508,True
ET_02,other,0.71,0.04831,0.08235,0.90917,-16.817,-21.438,-8.517,True
ET_02,other,0.72,-0.0486,0.12626,0.869,-26.022,-11.569,-13.346,True
ET_02,other,0.73,-0.07746,0.204,0.84889,-31.734,-0.562,-14.292,True
ET_02,other,0.74,-0.05778,0.29788,0.83654,-27.398,10.109,-13.501,True
ET_02,other,0.75,0.02181,0.34406,0.90041,-18.192,18.685,-8.857,True
ET_02,other,0.76,0.14847,0.37892,0.91797,-3.226,23.862,-0.734,True
ET_02,other,0.77,0.26794,0.37359,0.96903,13.556,21.199,4.554,True
ET_02,other,0.78,0.35637,0.30784,0.99991,25.236,14.276,12.281,True
ET_02,other,0.79,0.40096,0.24127,1.00765,32.549,3.575,14.284,True
ET_02,other,0.8,0.37676,0.1458,1.01571,30.117,-7.004,15.251,True
ET_02,other,0.81,0.35325,0.08938,0.9987,21.429,-15.557,11.484,True
ET_02,other,0.8200000000000001,0.2321,0.05289,0.96479,9.485,-21.579,3.718,True
ET_02,other,0.8300000000000001,0.10135,0.04514,0.92044,-7.45,-21.562,-2.258,True
ET_02,other,0.84,0.035,0.07288,0.88091,-21.295,-18.392,-11.892,True
ET_02,other,0.85,-0.05273,0.11764,0.83576,-31.123,-8.297,-15.233,True
ET_02,other,0.86,-0.05306,0.24024,0.84711,-32.079,2.303,-15.612,True
ET_02,other,0.87,-0.02558,0.30484,0.86539,-25.882,13.768,-12.579,True
ET_02,other,0.88,0.0726,0.35634,0.92008,-14.116,21.018,-7.45,True
ET_02,other,0.89,0.20119,0.38615,0.94384,0.602,23.469,0.221,True
ET_02,other,0.9,0.29693,0.3434,1.0056,15.327,19.418,9.643,True
ET_02,other,0.91,0.38953,0.31625,1.00584,27.836,11.623,13.632,True
ET_02,other,0.92,0.39153,0.24344,1.03015,32.424,0.762,16.347,True
ET_02,other,0.93,0.3936,0.12882,1.03009,29.586,-10.735,14.515,True
ET_02,other,0.9400000000000001,0.31208,0.10121,0.97625,18.878,-19.321,9.41,True
ET_02,other,0.9500000000000001,0.21594,0.03751,0.95689,3.683,-23.7,3.763,True
ET_02,other,0.96,0.09597,0.03829,0.90367,-11.818,-21.132,-5.272,True
ET_02,other,0.97,0.01668,0.10994,0.85626,-25.303,-14.802,-13.143,True
ET_02,other,0.98,-0.06079,0.17679,0.87947,-32.343,-5.134,-15.19,True
ET_02,other,0.99,-0.04899,0.26131,0.83187,-31.342,7.338,-15.34,True
ET_02,other,1.0,-0.00632,0.34027,0.88424,-22.198,16.681,-10.573,True
ET_02,other,1.01,0.13585,0.39495,0.92413,-9.661,22.875,-3.407,True
ET_02,other,1.02,0.24152,0.37378,0.91619,6.304,22.98,3.733,True
ET_02,other,1.03,0.30973,0.35928,1.00147,20.709,17.441,9.066,True
ET_02,other,1.04,0.40058,0.3141,1.0337,28.444,9.244,14.123,True
ET_02,other,1.05,0.4143,0.18901,1.02439,32.966,-2.587,15.585,True
ET_02,other,1.06,0.37054,0.1059,0.9988,27.967,-14.594,12.82,True
ET_02,other,1.07,0.2852,0.06215,0.98719,15.61,-20.117,8.802,True
ET_02,other,1.08,0.16037,0.0425,0.92937,-0.798,-25.067,-0.919,True
ET_02,other,1.09,0.06616,0.07743,0.88304,-15.212,-20.672,-6.367,True
ET_02,other,1.1,-0.04222,0.15297,0.84621,-28.573,-12.056,-14.79,True
ET_02,other,1.11,-0.0585,0.22875,0.83211,-31.346,-2.738,-15.397,True
ET_02,other,1.12,-0.02021,0.28465,0.88223,-30.766,10.33,-14.615,True
ET_02,other,1.1300000000000001,0.04198,0.36617,0.86647,-19.173,18.587,-9.648,True
ET_02,other,1.1400000000000001,0.168,0.40051,0.89401,-4.163,23.493,-3.036,True
ET_02,other,1.1500000000000001,0.26163,0.37545,0.96989,9.633,22.086,4.535,True
ET_02,other,1.16,0.36027,0.31981,1.02341,23.916,16.652,12.874,True
ET_02,other,1.17,0.42853,0.2265,1.02542,31.796,6.23,16.277,True
ET_02,other,1.18,0.39817,0.16202,1.01362,31.543,-5.116,16.307,True
ET_02,other,1.19,0.36113,0.08463,0.99351,24.528,-17.647,12.435,True
ET_02,other,1.2,0.26875,0.03465,0.94157,9.865,-22.904,6.61,True
ET_02,other,1.21,0.15256,0.05858,0.89054,-4.775,-23.623,-2.934,True
ET_02,other,1.22,0.02747,0.0792,0.85519,-18.299,-18.948,-11.722,True
ET_02,other,1.23,-0.04839,0.12539,0.84857,-30.37,-11.856,-14.833,True
ET_02,other,1.24,-0.06397,0.24819,0.84282,-33.18,2.966,-17.603,True
ET_02,other,1.25,-0.01807,0.33409,0.88472,-26.952,11.893,-14.213,True
ET_02,other,1.26,0.05453,0.38333,0.89797,-16.343,20.4,-7.482,True
ET_02,other,1.27,0.18035,0.40922,0.92213,0.204,24.982,-1.53,True
ET_02,other,1.28,0.28691,0.37582,0.97637,15.888,22.396,7.438,True
ET_02,other,1.29,0.38005,0.32129,1.01127,27.532,13.976,14.804,True
ET_02,other,1.3,0.41971,0.22592,1.05041,32.795,1.593,15.946,True
ET_02,other,1.31,0.41903,0.166,1.02915,31.023,-10.437,14.674,True
ET_02,other,1.32,0.3303,0.08925,0.97733,20.431,-19.224,11.474,True
ET_02,other,1.33,0.23357,0.05996,0.92923,5.946,-24.005,2.554,True
ET_02,other,1.34,0.11954,0.05175,0.88975,-10.304,-22.797,-5.356,True
ET_02,other,1.35,0.01672,0.08984,0.86939,-23.622,-16.695,-11.721,True
ET_02,other,1.36,-0.08844,0.16776,0.84322,-31.992,-7.002,-15.585,True
ET_02,other,1.37,-0.04195,0.24994,0.82301,-31.836,5.97,-15.878,True
ET_02,other,1.3800000000000001,-0.00976,0.32683,0.85765,-25.325,14.659,-12.52,True
ET_02,other,1.3900000000000001,0.07322,0.37448,0.91483,-11.817,22.547,-5.5,True
ET_02,other,1.4000000000000001,0.20209,0.39093,0.93955,5.147,24.841,1.02,True
ET_02,other,1.41,0.34999,0.35842,0.9903,21.071,20.168,8.741,True
ET_02,other,1.42,0.4155,0.31628,1.02752,30.43,10.405,14.727,True
ET_02,other,1.43,0.41121,0.20988,1.03298,32.756,-1.008,17.02,True
ET_02,other,1.44,0.3851,0.12835,0.99629,28.869,-13.06,13.409,True
ET_02,other,1.45,0.31203,0.05643,0.99398,16.331,-21.191,7.605,True
ET_02,other,1.46,0.21545,0.04046,0.92733,1.06,-24.791,-0.74,True
ET_02,other,1.47,0.06724,0.05526,0.9059,-14.739,-20.149,-6.292,True
ET_02,other,1.48,-0.01505,0.12179,0.86513,-25.694,-14.278,-13.816,True
ET_02,other,1.49,-0.06105,0.2011,0.81581,-32.558,-2.784,-15.891,True
ET_02,other,1.5,0.00786,0.29734,0.83235,-29.76,9.786,-15.597,True
ET_02,other,1.51,0.02381,0.37343,0.86633,-20.138,19.102,-10.992,True
ET_02,other,1.52,0.11712,0.39354,0.92292,-4.801,24.78,-3.085,True
ET_02,other,1.53,0.27524,0.37165,0.99295,9.521,23.419,4.904,True
ET_02,other,1.54,0.35201,0.33958,0.99509,22.411,18.849,11.729,True
ET_02,other,1.55,0.41022,0.25708,1.03609,30.723,7.966,15.756,True
ET_02,other,1.56,0.41595,0.18966,1.00974,32.298,-4.316,16.254,True
ET_02,other,1.57,0.3601,0.09102,0.99869,25.571,-15.57,13.067,True
ET_02,other,1.58,0.27688,0.05276,0.943,12.194,-22.474,5.475,True
ET_02,other,1.59,0.1597,0.04465,0.93202,-2.758,-23.96,-3.193,True
ET_02,other,1.6,0.04425,0.05795,0.86887,-18.545,-18.201,-9.99,True
ET_02,other,1.61,-0.01187,0.16012,0.84527,-28.128,-10.69,-14.983,True
ET_02,other,1.62,-0.04936,0.24232,0.85035,-31.857,1.793,-16.73,True
ET_02,other,1.6300000000000001,-0.03446,0.30925,0.85632,-27.382,12.518,-13.543,True
ET_02,other,1.6400000000000001,0.05995,0.37564,0.88827,-17.165,22.122,-9.798,True
ET_02,other,1.6500000000000001,0.21289,0.40925,0.90619,-1.325,24.904,-1.264,True
ET_02,other,1.6600000000000001,0.31474,0.39421,0.95373,12.789,22.828,7.434,True
ET_02,other,1.67,0.34441,0.32594,0.99291,26.807,14.235,13.141,True
ET_02,other,1.68,0.4325,0.25756,0.98638,32.829,3.524,15.296,True
ET_02,other,1.69,0.38248,0.17417,1.00362,29.221,-8.334,14.978,True
ET_02,other,1.7,0.36003,0.10158,1.01212,21.039,-17.454,10.887,True
ET_02,other,1.71,0.26365,0.06471,0.96895,6.021,-22.236,3.31,True
ET_02,other,1.72,0.11453,0.06136,0.90509,-9.024,-22.223,-4.013,True
ET_02,other,1.73,0.03966,0.1083,0.86732,-21.146,-18.332,-10.279,True
ET_02,other,1.74,-0.01149,0.19491,0.84688,-29.379,-5.758,-14.643,True
ET_02,other,1.75,-0.03709,0.26404,0.82796,-32.393,4.926,-16.212,True
ET_02,other,1.76,0.00536,0.3253,0.87536,-23.651,14.123,-13.701,True
ET_02,other,1.77,0.11552,0.37101,0.91568,-12.955,21.084,-6.937,True
ET_02,other,1.78,0.23791,0.37318,0.93785,1.637,23.351,1.143,True
ET_02,other,1.79,0.31614,0.33936,1.00164,16.843,19.413,9.58,True
ET_02,other,1.8,0.40583,0.29543,0.99779,28.026,10.232,14.661,True
ET_02,other,1.81,0.43864,0.22814,1.03358,30.129,0.503,16.094,True
ET_02,other,1.82,0.37008,0.12893,0.97997,26.646,-10.459,14.878,True
ET_02,other,1.83,0.30804,0.07114,0.99659,17.047,-19.418,8.937,True
ET_02,other,1.84,0.208,0.06926,0.92303,3.271,-23.714,2.396,True
ET_02,other,1.85,0.10393,0.08631,0.89039,-13.212,-21.146,-5.744,True
ET_02,other,1.86,0.01051,0.11266,0.86098,-24.546,-14.872,-11.745,True
ET_02,other,1.87,-0.023,0.15289,0.82466,-30.42,-4.007,-14.183,True
ET_02,other,1.8800000000000001,-0.01841,0.28476,0.87879,-30.76,8.086,-15.168,True
ET_02,other,1.8900000000000001,0.03905,0.34207,0.88018,-21.289,17.66,-10.005,True
ET_02,other,1.9000000000000001,0.13825,0.37179,0.88011,-7.459,21.868,-3.518,True
ET_02,other,1.9100000000000001,0.23397,0.38044,0.94393,6.844,20.99,4.342,True
ET_02,other,1.92,0.33686,0.34265,0.98563,20.035,16.506,10.163,True
ET_02,other,1.93,0.40879,0.28475,0.98375,28.996,7.128,14.393,True
ET_02,other,1.94,0.42508,0.2076,1.00955,29.391,-3.832,14.241,True
ET_02,other,1.95,0.38747,0.10599,1.00673,25.105,-14.987,11.895,True
ET_02,other,1.96,0.26961,0.05768,0.95789,12.934,-20.862,6.776,True
ET_02,other,1.97,0.1914,0.0674,0.92347,-2.164,-23.418,-1.621,True
ET_02,other,1.98,0.07852,0.10872,0.88838,-15.918,-18.675,-8.294,True
ET_02,other,1.99,0.00293,0.13157,0.84786,-27.341,-12.095,-12.47,True
ET_02,other,2.0,-0.018,0.20914,0.87828,-30.427,-0.262,-14.492,True
ET_02,other,2.0100000000000002,-0.03083,0.30485,0.86303,-25.692,10.42,-14.511,True
ET_02,other,2.02,0.06645,0.36491,0.87098,-18.861,16.874,-8.265,True
ET_02,other,2.0300000000000002,0.18248,0.39435,0.9071,-3.375,22.746,-1.237,True
ET_02,other,2.04,0.28599,0.36236,0.98134,11.354,20.044,5.473,True
ET_02,other,2.05,0.35938,0.3135,0.97584,23.686,13.025,12.509,True
ET_02,other,2.06,0.43195,0.24231,0.98615,28.919,4.679,13.289,True
ET_02,other,2.07,0.37685,0.17882,0.96308,28.167,-6.748,15.35,True
ET_02,other,2.08,0.35378,0.12569,0.99084,21.928,-15.05,10.901,True
ET_02,other,2.09,0.24814,0.076,0.96444,7.435,-20.646,4.502,True
ET_02,other,2.1,0.16682,0.06334,0.87844,-7.209,-20.54,-2.464,True
ET_02,other,2.11,0.06959,0.11204,0.86996,-18.008,-16.989,-9.768,True
ET_02,other,2.12,-0.01998,0.21424,0.8767,-28.322,-7.368,-13.459,True
ET_02,other,2.13,-0.02943,0.23755,0.8573,-28.227,2.408,-13.211,True
ET_02,other,2.14,0.0151,0.32132,0.86675,-23.664,14.893,-12.406,True
ET_02,other,2.15,0.11858,0.38115,0.8741,-11.228,20.645,-7.546,True
ET_02,other,2.16,0.20251,0.40044,0.90563,0.381,20.665,1.492,True
ET_02,other,2.17,0.29399,0.36309,0.94999,15.716,16.137,8.756,True
ET_02,other,2.18,0.37396,0.30842,0.97789,24.955,10.794,12.622,True
ET_02,other,2.19,0.40597,0.23203,0.9932,28.233,2.519,14.925,True
ET_02,other,2.2,0.3961,0.16344,1.00595,26.576,-9.006,13.78,True
ET_02,other,2.21,0.31857,0.09616,0.98279,18.126,-16.269,9.143,True
ET_02,other,2.22,0.23233,0.07215,0.93184,4.514,-19.937,1.486,True
ET_02,other,2.23,0.10297,0.10355,0.90518,-9.823,-21.199,-4.62,True
ET_02,other,2.24,0.04997,0.13477,0.83461,-21.701,-13.991,-11.892,True
ET_02,other,2.25,0.01465,0.18076,0.86505,-27.685,-4.722,-14.148,True
ET_02,other,2.2600000000000002,-0.00219,0.26994,0.83827,-28.016,6.174,-14.42,True
ET_02,other,2.27,0.06017,0.3256,0.84766,-19.895,13.349,-8.914,True
ET_02,other,2.2800000000000002,0.13559,0.36489,0.8931,-9.321,19.443,-5.214,True
ET_02,other,2.29,0.26174,0.37286,0.92413,4.345,20.183,2.278,True
ET_02,other,2.3000000000000003,0.33443,0.32771,0.97113,17.125,16.249,9.717,True
ET_02,other,2.31,0.39571,0.29367,1.01485,25.22,7.936,14.079,True
ET_02,other,2.32,0.3834,0.20633,1.01036,27.826,-2.88,14.617,True
ET_02,other,2.33,0.37493,0.14591,0.99933,22.935,-11.279,10.935,True
ET_02,other,2.34,0.28517,0.08673,0.98989,13.121,-19.243,5.07,True
ET_02,other,2.35,0.18755,0.07183,0.91352,1.308,-18.002,-0.98,True
ET_02,other,2.36,0.11142,0.09214,0.90019,-14.829,-18.445,-5.832,True
ET_02,other,2.37,0.01129,0.1702,0.87458,-22.843,-11.4,-11.464,True
ET_02,other,2.38,0.00516,0.1943,0.8486,-26.925,-1.431,-13.739,True
ET_02,other,2.39,0.03905,0.27701,0.84977,-24.159,8.003,-11.569,True
ET_02,other,2.4,0.08456,0.34378,0.90801,-17.264,17.066,-8.27,True
ET_02,other,2.41,0.17198,0.34207,0.90368,-4.753,20.461,-2.062,True
ET_02,other,2.42,0.3004,0.37811,0.94703,9.137,19.507,3.438,True
ET_02,other,2.43,0.34413,0.32692,0.99063,20.521,12.87,9.093,True
ET_02,other,2.44,0.39556,0.2605,0.99145,26.805,3.89,13.138,True
ET_02,other,2.45,0.42102,0.18085,0.98607,26.958,-4.006,14.274,True
ET_02,other,2.46,0.33845,0.1399,0.99224,19.986,-14.421,9.66,True
ET_02,other,2.47,0.28581,0.08877,0.95539,8.621,-18.097,4.103,True
ET_02,other,2.48,0.17308,0.08307,0.94214,-5.27,-19.392,-1.57,True
ET_02,other,2.49,0.10132,0.1105,0.90146,-17.29,-14.835,-8.963,True
ET_02,other,2.5,0.03001,0.17177,0.86955,-23.402,-7.283,-11.736,True
ET_02,other,2.5100000000000002,0.03565,0.24592,0.83044,-25.838,1.682,-12.548,True
ET_02,other,2.52,0.08028,0.31221,0.87793,-22.214,10.538,-9.603,True
ET_02,other,2.5300000000000002,0.08601,0.37076,0.87895,-12.66,16.959,-6.964,True
ET_02,other,2.54,0.1922,0.35503,0.91675,-0.472,18.849,-0.004,True
ET_02,other,2.5500000000000003,0.28753,0.34954,0.96443,11.399,15.853,5.976,True
ET_02,other,2.56,0.33891,0.29741,0.98943,21.339,11.266,10.612,True
ET_02,other,2.57,0.38026,0.23158,1.02096,26.673,1.713,14.06,True
ET_02,other,2.58,0.3477,0.18418,1.00645,23.029,-7.087,11.739,True
ET_02,other,2.59,0.30426,0.1141,0.95436,16.763,-13.616,9.559,True
ET_02,other,2.6,0.24769,0.09141,0.93042,5.862,-18.912,2.21,True
ET_02,other,2.61,0.13801,0.08525,0.91291,-7.672,-17.531,-4.548,True
ET_02,other,2.62,0.0563,0.15258,0.9048,-19.214,-12.716,-10.036,True
ET_02,other,2.63,0.00488,0.20381,0.83987,-23.742,-5.911,-12.472,True
ET_02,other,2.64,-0.00417,0.23644,0.87106,-25.238,4.77,-12.637,True
ET_02,other,2.65,0.056,0.32404,0.87889,-19.329,10.767,-10.684,True
ET_02,other,2.66,0.08893,0.32574,0.89481,-7.205,16.814,-4.309,True
ET_02,other,2.67,0.2204,0.33325,0.92961,2.734,18.465,2.158,True
ET_02,other,2.68,0.2994,0.33657,0.96038,14.404,14.128,7.826,True
ET_02,other,2.69,0.36027,0.29698,0.96475,23.042,7.185,13.017,True
ET_02,other,2.7,0.3765,0.23501,1.0002,25.503,-0.92,11.587,True
ET_02,other,2.71,0.353,0.16635,0.98975,22.081,-9.995,10.061,True
ET_02,other,2.72,0.28494,0.10555,0.96154,13.606,-14.688,7.025,True
ET_02,other,2.73,0.19727,0.08703,0.93884,0.66,-19.148,1.145,True
ET_02,other,2.74,0.11161,0.1034,0.92841,-10.762,-14.281,-5.118,True
ET_02,other,2.75,0.05538,0.16102,0.84427,-19.105,-9.979,-10.003,True
ET_02,other,2.7600000000000002,0.00538,0.20939,0.86859,-23.823,-2.502,-10.829,True
ET_02,other,2.77,0.01335,0.26238,0.8333,-21.852,6.67,-11.763,True
ET_02,other,2.7800000000000002,0.09407,0.33219,0.87295,-14.628,13.479,-7.405,True
ET_02,other,2.79,0.15685,0.34814,0.90253,-5.31,16.681,-1.976,True
ET_02,other,2.8000000000000003,0.25266,0.32036,0.96861,5.407,16.017,3.832,True
ET_02,other,2.81,0.31383,0.30249,0.99034,16.023,13.246,7.275,True
ET_02,other,2.82,0.37682,0.27404,0.98396,22.334,5.267,11.289,True
ET_02,other,2.83,0.36597,0.19737,0.98973,24.277,-3.171,10.544,True
ET_02,other,2.84,0.32828,0.15678,0.96207,18.316,-10.67,10.437,True
ET_02,other,2.85,0.28413,0.12241,0.9486,9.836,-14.927,3.342,True
ET_02,other,2.86,0.16394,0.09809,0.88494,-1.914,-16.867,-1.223,True
ET_02,other,2.87,0.1021,0.11772,0.87851,-13.005,-15.128,-7.204,True
ET_02,other,2.88,0.06015,0.16967,0.86543,-20.334,-6.925,-9.19,True
ET_02,other,2.89,0.0507,0.24229,0.88473,-22.33,1.028,-11.81,True
ET_02,other,2.9,0.03795,0.28376,0.86784,-21.003,8.624,-8.537,True
ET_02,other,2.91,0.12007,0.3015,0.92001,-13.127,13.765,-5.925,True
ET_02,other,2.92,0.2126,0.34469,0.91941,-1.52,18.509,-0.77,True
ET_02,other,2.93,0.25756,0.36311,0.96411,8.538,16.843,4.283,True
ET_02,other,2.94,0.3319,0.30035,0.98103,18.072,10.306,8.049,True
ET_02,other,2.95,0.3622,0.26264,0.97829,21.952,4.407,11.483,True
ET_02,other,2.96,0.34904,0.19918,0.97914,22.176,-6.43,10.453,True
ET_02,other,2.97,0.29983,0.11572,0.91821,13.34,-12.545,8.997,True
ET_02,other,2.98,0.25683,0.1053,0.92193,6.146,-16.508,1.526,True
ET_02,other,2.99,0.16112,0.08864,0.88406,-5.871,-15.348,-2.718,True
ET_02,other,3.0,0.09024,0.10231,0.88712,-14.207,-12.126,-7.066,True
ET_02,other,3.0100000000000002,0.03977,0.19427,0.87451,-22.841,-5.196,-11.814,True
ET_02,other,3.02,0.03032,0.22577,0.83722,-22.316,3.417,-12.05,True
ET_02,other,3.0300000000000002,0.06699,0.27723,0.87143,-17.705,9.554,-6.918,True
ET_02,other,3.04,0.12279,0.32451,0.88531,-8.487,15.664,-3.68,True
ET_02,other,3.0500000000000003,0.23059,0.35633,0.93078,1.105,16.244,-0.164,True
ET_02,other,3.06,0.26471,0.28744,0.96986,12.113,12.126,6.676,True
ET_02,other,3.0700000000000003,0.33698,0.30443,0.96931,20.118,6.695,9.658,True
ET_02,other,3.08,0.35163,0.22783,0.97547,22.475,-0.985,12.118,True
ET_02,other,3.09,0.31784,0.14908,0.98926,19.183,-8.444,9.426,True
ET_02,other,3.1,0.28308,0.12517,0.98258,12.512,-13.176,7.304,True
ET_02,other,3.11,0.2135,0.09679,0.92187,2.562,-15.922,2.596,True
ET_02,other,3.12,0.1241,0.10004,0.9246,-8.436,-14.855,-2.412,True
ET_02,other,3.13,0.06763,0.13995,0.89031,-18.175,-8.253,-8.136,True
ET_02,other,3.14,0.03361,0.22209,0.89414,-22.206,-2.351,-11.888,True
ET_02,other,3.15,0.03703,0.25697,0.86634,-20.7,4.722,-10.555,True
ET_02,other,3.16,0.08213,0.28006,0.88067,-15.122,11.245,-6.732,True
ET_02,other,3.17,0.11761,0.33814,0.92391,-4.367,15.853,-2.18,True
ET_02,other,3.18,0.21364,0.33607,0.93169,4.744,15.296,1.756,True
ET_02,other,3.19,0.31611,0.31287,0.97668,14.623,14.558,7.609,True
ET_02,other,3.2,0.3631,0.25727,0.96986,19.056,6.064,10.845,True
ET_02,other,3.21,0.33837,0.20514,0.9745,19.957,-3.274,8.96,True
ET_02,other,3.22,0.29873,0.17878,0.96103,18.154,-10.383,7.794,True
ET_02,other,3.23,0.26475,0.10931,0.96644,9.062,-13.12,4.298,True
ET_02,other,3.24,0.17433,0.09671,0.92325,-1.489,-16.504,-0.308,True
ET_02,other,3.25,0.11592,0.18233,0.9139,-11.201,-13.564,-5.63,True
ET_02,other,3.2600000000000002,0.05321,0.15288,0.85606,-18.432,-7.696,-7.825,True
ET_02,other,3.27,0.0456,0.23896,0.85952,-20.939,-0.002,-10.531,True
ET_02,other,3.2800000000000002,0.02814,0.27901,0.88334,-19.279,6.72,-9.988,True
